scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Negeri Sembilan,1,7,6.902552,f,0,736986,736986,0.810638,1,t,Seremban,742170f4-1994-4b75-88ce-463b87cdb983,5043fa20-d88a-44a7-bd93-a288a410092f
Negeri Sembilan,2,5,5.097448,f,0,544255,544255,0.718810,1,t,Jelebu; Jempol; Kuala Pilah; Port Dickson; Rembau; Tampin,19550687-5281-4677-b508-c9065ede8e33,5043fa20-d88a-44a7-bd93-a288a410092f
Pahang,1,8,8.164376,f,0,876758,876758,0.683980,5,t,Bentong; Bera; Maran; Pekan; Raub; Rompin; Temerloh,ac7b2922-bdc7-417b-8e0f-a39e3de91f7d,cd6a4b4f-a4b8-429b-b76d-932597614fba
Pahang,2,8,7.835624,f,0,841454,841454,0.764223,1,t,Cameron Highlands; Jerantut; Kuantan; Lipis,9f2e0a04-5059-436a-a841-6bea84f453b0,cd6a4b4f-a4b8-429b-b76d-932597614fba
Penang,1,8,7.734297,f,0,841027,841027,0.781613,2,t,Barat Daya; Timur Laut,90da0149-173e-4be6-a648-e9c67dbae5f3,3ecf9d24-88f4-4461-87af-66a0affdab88
Penang,2,9,9.265703,f,0,1007552,1007552,0.786691,1,t,Seberang Perai Selatan; Seberang Perai Tengah; Seberang Perai Utara,c8ae4df8-a168-43df-acaa-414f727c79ac,3ecf9d24-88f4-4461-87af-66a0affdab88
Perak,1,9,8.946776,f,0,950143,950143,0.716621,1,t,Kinta,bca2e28e-1acd-4cf9-acf2-dd615197e03f,62fd848d-7100-49d2-8b72-c267cc877532
Perak,2,8,8.387216,f,0,890718,890718,0.703886,1,t,Hulu Perak; Kerian; Kuala Kangsar; Larut dan Matang; Perak Tengah; Selama,d8635375-a02c-4dba-bf37-224f77bd40af,62fd848d-7100-49d2-8b72-c267cc877532
Perak,3,8,7.666007,f,0,814126,814126,0.680740,4,t,Bagan Datuk; Batang Padang; Hilir Perak; Kampar; Manjung; Muallim,7f9cc2d7-8f71-49d7-83e4-7cccb0ef343e,62fd848d-7100-49d2-8b72-c267cc877532
Petaling,1,7,6.886681,f,0,999285,999285,0.064203,3,t,BANDAR PETALING JAYA SELATAN; MUKIM PETALING; PEKAN BARU SUNGAI BESI; PEKAN DESA PUCHONG; PEKAN KINRARA; PEKAN PUCHONG; PEKAN PUCHONG JAYA; PEKAN PUCHONG PERDANA; PEKAN SALAK; PEKAN SERDANG,34c348f6-1e0b-4dac-8e01-bc007acf1196,69053057-2df9-4d05-a57a-fbf3d7fa346f
Petaling,2,8,7.982178,f,0,1158246,1158246,0.733144,1,t,BANDAR GLENMARIE; BANDAR PETALING JAYA; BANDAR SAUJANA; BANDAR SHAH ALAM; BANDAR SUBANG JAYA; BANDAR SUNWAY; MUKIM DAMANSARA; PEKAN BARU HICOM; PEKAN BATU TIGA; PEKAN CEMPAKA; PEKAN COUNTRY HEIGHT; PEKAN HICOM; PEKAN KAYU ARA; PEKAN PENAGA; PEKAN SUBANG JAYA,91636171-4fc7-441a-9672-e34b9343df09,69053057-2df9-4d05-a57a-fbf3d7fa346f
Petaling,3,8,8.131140,f,0,1179861,1179861,0.267571,3,t,BANDAR DAMANSARA; BANDAR SRI DAMANSARA; MUKIM BATU; MUKIM BUKIT RAJA; MUKIM SUNGAI BULOH; PEKAN BARU SUBANG; PEKAN BARU SUNGAI BULOH; PEKAN MERBAU SEMPAK; PEKAN SUBANG,a3dbcaea-bfa6-46ca-811f-46c0e8e7948d,69053057-2df9-4d05-a57a-fbf3d7fa346f
Sabah,1,9,9.252043,f,0,991087,991087,0.661305,25,t,Kalabakan; Kunak; Lahad Datu; Semporna; Tawau,80f4ae11-e71d-474c-999b-aafcfda1c3f9,8e1f947c-e922-4db1-a556-633ae4d1f80c
Sabah,2,9,8.801822,f,0,942859,942859,0.745140,12,t,Beluran; Kinabatangan; Pitas; Ranau; Sandakan; Telupid; Tongod,3365082c-dc24-45c1-819e-f8b7e0837c96,8e1f947c-e922-4db1-a556-633ae4d1f80c
Sabah,3,8,8.016280,f,0,858711,858711,0.734135,1,t,Beaufort; Keningau; Kuala Penyu; Nabawan / Persiangan; Papar; Penampang; Putatan; Sipitang; Tambunan; Tenom,fb3c909f-a15f-49ed-99b0-5c89c8eb1c73,8e1f947c-e922-4db1-a556-633ae4d1f80c
Sabah,4,9,8.929855,f,0,956574,956574,0.471027,23,t,Kota Belud; Kota Kinabalu; Kota Marudu; Kudat; Tuaran,fd300e56-14d8-47d0-995e-9fe8587bcc56,8e1f947c-e922-4db1-a556-633ae4d1f80c
Sarawak,1,9,8.817996,f,0,928468,928468,0.784728,1,t,Asajaya; Betong; Dalat; Daro; Julau; Kabong; Kanowit; Lubok Antu; Maradong; Matu; Mukah; Pakan; Pusa; Saratok; Sarikei; Selangau; Serian; Sibu; Simunjan; Song; Sri Aman; Tanjung Manis; Tebedu,30941c8e-c02b-435a-9197-fd706301baea,98bac3a3-9641-4811-8434-73f14f7a199a
Sarawak,2,8,7.823585,f,0,823764,823764,0.835294,1,t,Belaga; Beluru; Bintulu; Bukit Mabong; Kapit; Lawas; Limbang; Marudi; Miri; Sebauh; Subis; Tatau; Telang Usan,24b0ba1c-eb9c-4140-80df-441208795c3b,98bac3a3-9641-4811-8434-73f14f7a199a
Sarawak,3,8,8.358419,f,0,880078,880078,0.614264,1,t,Bau; Kuching; Lundu; Samarahan,afa20759-4da5-4966-bf86-cd11ce96e5b1,98bac3a3-9641-4811-8434-73f14f7a199a
Selangor,1,9,9.294870,f,0,1013625,1013625,0.676666,1,t,Gombak,03459903-8c68-4f66-bc26-f1a77e9f6267,86adc297-c80b-44c4-a65d-0043e08c77e6
Selangor,2,7,6.926516,f,0,755351,755351,0.501096,3,f,Kuala Langat; Kuala Selangor; Sabak Bernam,9f4db163-6000-4f21-845e-fc96595c771d,86adc297-c80b-44c4-a65d-0043e08c77e6
Selangor,3,7,6.778614,f,0,739222,739222,0.488543,2,f,Sepang; Ulu Selangor,5a388a5c-0a35-494d-9ca9-26a5f8e87ff5,86adc297-c80b-44c4-a65d-0043e08c77e6
Terengganu,1,6,5.855976,f,0,616339,616339,0.751246,3,t,Dungun; Hulu Terengganu; Kemaman; Marang,922010a1-65ed-4183-b9e0-ea8e5a3bd5b9,d209350e-aec2-4d45-aac2-3b90c8de4452
Terengganu,2,6,6.144024,f,0,646656,646656,0.580036,23,t,Besut; Kuala Nerus; Kuala Terengganu; Setiu,69cafda3-6bb5-4637-94b8-a7d3f1580769,d209350e-aec2-4d45-aac2-3b90c8de4452
Ulu Langat,1,7,7.080352,f,0,805033,805033,0.740168,4,t,"BANDAR AMPANG; BANDAR BALAKONG; BANDAR BATU 18, SEMENYIH; BANDAR BATU 26, BERANANG; BANDAR SEMENYIH; BANDAR ULU LANGAT; MUKIM AMPANG; MUKIM BERANANG; MUKIM SEMENYIH; MUKIM ULU LANGAT; MUKIM ULU SEMENYIH; PEKAN BATU 18, ULU LANGAT; PEKAN BATU 23, SUNGAI LALANG; PEKAN BATU 26, BERANANG; PEKAN BERANANG; PEKAN BUKIT SUNGAI RAYA; PEKAN CHERAS; PEKAN DESA RAYA; PEKAN DUSUN TUA ULU LANGAT; PEKAN KACAU; PEKAN KAMPONG PASIR, BATU 14, SEMENYIH; PEKAN RUMAH MURAH SUNGAI LUI; PEKAN SEMENYIH; PEKAN SRI NANDING; PEKAN SUNGAI KEMBONG BERANANG; PEKAN SUNGAI LUI; PEKAN SUNGAI MAKAU; PEKAN TARUN",ed123820-774c-4466-8a46-29aab3a89218,5b582689-eb07-4f6a-8794-e951cc1155a0
Ulu Langat,2,7,6.919648,f,0,786761,786761,0.705053,4,t,"BANDAR BARU BANGI; BANDAR BATU 9, CHERAS; BANDAR CHERAS; BANDAR COUNTRY HEIGHT; BANDAR KAJANG; MUKIM CHERAS; MUKIM KAJANG; PEKAN BANGI LAMA; PEKAN KAJANG; PEKAN KAMPONG SUNGAI TANGKAS; PEKAN SIMPANG BALAK",16e5206f-fd0b-4437-9036-6baddb79012e,5b582689-eb07-4f6a-8794-e951cc1155a0
